TreeID,qSpecies,qSiteInfo,Latitude,Longitude
200311,Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,Sidewalk: Curb side : Yard,37.78919309,-122.3900057
10425,Schinus terebinthifolius :: Brazilian Pepper,Sidewalk: Curb side : Cutout,37.7700941,-122.4456931
43163,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Cutout,37.72603642,-122.4226902
188921,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Property side : Yard,37.75195457,-122.3994817
643,Ficus microcarpa :: Chinese Banyan,Sidewalk: Curb side : Cutout,37.7523982,-122.4167724
133773,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.79246726,-122.4395335
137657,Crataegus laevigata :: English Hawthorn,Sidewalk: Curb side : Cutout,37.77880441,-122.444757
209974,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.72831263,-122.4581057
9999,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.76921223,-122.4246565
94792,Maytenus boaria :: Mayten,Sidewalk: Curb side : Cutout,37.79098842,-122.4508487
185626,Myoporum laetum :: Myoporum,Sidewalk: Property side : Yard,37.7462208,-122.4945042
29149,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.7839498,-122.4126863
82688,Crataegus laevigata :: English Hawthorn,Sidewalk: Curb side : Cutout,37.75197824,-122.4968327
134799,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Yard,37.80213141,-122.4191471
22723,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.78042217,-122.432176
200043,Pyrus kawakamii :: Evergreen Pear,Sidewalk: Curb side : Cutout,37.73243786,-122.3895481
30326,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.71906925,-122.4591242
177625,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.71603005,-122.4345534
240965,Syagrus romanzoffianum :: Queen Palm,Sidewalk: Curb side : Cutout,37.75842145,-122.4435561
106947,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.79606292,-122.4453857
123907,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.78551,-122.4689918
237971,Prunus spp :: Cherry,Sidewalk: Curb side : Cutout,37.74838115,-122.41303
212470,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.72754695,-122.4563102
238522,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,Sidewalk: Curb side : Cutout,37.73743517,-122.4330686
246246,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.76753847,-122.4443178
46353,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Cutout,37.79078673,-122.4412931
41683,Pyrus kawakamii :: Evergreen Pear,Sidewalk: Curb side : Cutout,37.76097966,-122.4446096
89070,Laurus nobilis :: Sweet Bay: Grecian Laurel,Sidewalk: Curb side : Cutout,37.77639009,-122.4768635
21565,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.78729185,-122.4243405
89610,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',Sidewalk: Curb side : Cutout,37.77769248,-122.4933791
241428,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.74547208,-122.4382894
19262,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.78219531,-122.4376084
4221,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.7475408,-122.4285472
3015,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.78873184,-122.4346644
183551,Metrosideros excelsa :: New Zealand Xmas Tree,Sidewalk: Curb side : Cutout,37.73920093,-122.4798918
230477,Magnolia grandiflora :: Southern Magnolia,Sidewalk: Curb side : Cutout,37.75985952,-122.4110098
201010,Lophostemon confertus :: Brisbane Box,Sidewalk: Curb side : Cutout,37.76098758,-122.3887564
235173,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.75437628,-122.4373414
129292,Juniperus chinensis :: Juniper,Sidewalk: Property side : Yard,37.79933619,-122.4206539
189193,Afrocarpus gracilior :: Fern Pine,Sidewalk: Curb side : Cutout,37.7675104,-122.4015034
167503,Leptospermum laevigatum :: Australian Tea Tree,Sidewalk: Curb side : Cutout,37.76441456,-122.4314733
84674,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,Sidewalk: Curb side : Cutout,37.75130564,-122.4328702
83040,Quercus suber :: Cork Oak,Sidewalk: Curb side : Cutout,37.74092593,-122.3778882
10331,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,Sidewalk: Curb side : Cutout,37.77167675,-122.4361039
57298,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.76495791,-122.4224007
183033,Prunus serrulata :: Ornamental Cherry,Sidewalk: Curb side : Cutout,37.7416161,-122.478898
108783,Arbutus unedo :: Strawberry Tree,Sidewalk: Curb side : Cutout,37.71364778,-122.4224308
55091,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Cutout,37.77806161,-122.4748418
222075,Arbutus 'Marina' :: Hybrid Strawberry Tree,Sidewalk: Curb side : Cutout,37.76842185,-122.4186009
88336,Pyrus calleryana :: Ornamental Pear,Sidewalk: Curb side : Cutout,37.72000186,-122.4319386
193488,Maytenus boaria :: Mayten,Sidewalk: Curb side : Cutout,37.76267667,-122.3938569
266554,Melaleuca quinquenervia :: Cajeput,Sidewalk: Curb side : Cutout,37.76136095,-122.4392648
210059,Melaleuca linariifolia :: Flaxleaf Paperbark,Sidewalk: Curb side : Cutout,37.71872861,-122.4550469
104729,Ficus nitida :: Laurel Fig,Sidewalk: Curb side : Cutout,37.80532222,-122.4094395
204455,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Cutout,37.74042389,-122.4690972
43663,Callistemon citrinus :: Lemon Bottlebrush,Sidewalk: Curb side : Cutout,37.77608334,-122.4692206
142726,Solanum rantonnetti ::,Sidewalk: Curb side : Cutout,37.80445172,-122.4157682
212228,Corymbia ficifolia :: Red Flowering Gum,Sidewalk: Curb side : Cutout,37.73434505,-122.4386923
6843,Hymenosporum flavum :: Sweet Shade,Sidewalk: Curb side : Cutout,37.74047206,-122.3865874
98974,Eriobotrya deflexa :: Bronze Loquat,Sidewalk: Curb side : Cutout,37.7548995,-122.4144648
178204,Pinus radiata :: Monterey Pine,Sidewalk: Property side : Yard,37.71110957,-122.4186559
250161,Juniperus chinensis :: Juniper,Sidewalk: Property side : Yard,37.77551279,-122.4530825
14053,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.77713184,-122.4165543
90708,Yucca elephantipes :: Giant Yucca,Sidewalk: Curb side : Cutout,37.77350962,-122.5057833
210937,Photinia fraseri :: Photinia: Chinese photinia,Sidewalk: Curb side : Cutout,37.72204312,-122.4550577
26049,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.71326115,-122.4573902
123,Maytenus boaria :: Mayten,Sidewalk: Curb side : Cutout,37.76735942,-122.4361133
15860,Eriobotrya deflexa :: Bronze Loquat,Sidewalk: Curb side : Cutout,37.71396701,-122.4434545
11451,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Cutout,37.78913273,-122.4593903
111742,Eriobotrya deflexa :: Bronze Loquat,Sidewalk: Curb side : Cutout,37.77653303,-122.4777297
203906,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Property side : Yard,37.72781497,-122.474622
176646,Juniperus chinensis :: Juniper,Sidewalk: Property side : Yard,37.73008396,-122.4343605
226474,Ficus microcarpa :: Chinese Banyan,Sidewalk: Curb side : Cutout,37.76060936,-122.4139568
211519,Pittosporum tobira :: Japanese Mockorange,Sidewalk: Property side : Yard,37.72394848,-122.4593275
175981,Cordyline australis :: Dracena Palm,Sidewalk: Curb side : Cutout,37.70996421,-122.4362798
